UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
104577,1,-2,-2,2,47104.0,230.0,1463.0,48567.0,0.0,,1.0,,49350.0,46700.0,0.0,96050.0,3162.0,51984.0,55146.0,419436.0,0.0,0.0,2
104586,2,-2,-2,2,39192.0,10158.0,2359.0,41551.0,0.0,555054.0,1.0,202695.0,90322.0,168896.0,0.0,259218.0,5228.0,119279.0,124507.0,938779.0,6460.0,3312.0,1
104665,4,-2,-2,-1,48170.0,66.0,1124.0,49294.0,0.0,67662.0,2.0,,16088.0,21835.0,82.0,38005.0,108.0,8848.0,8956.0,114623.0,51.0,59.0,-1
104708,1,-2,-2,2,100762.0,55021.0,4868.0,105630.0,1.0,1731042.0,2.0,0.0,173769.0,125050.0,0.0,298819.0,1445.0,34814.0,36259.0,2066120.0,1290.0,771.0,1
104717,2,-2,-2,2,35000.0,121000.0,1400.0,36400.0,0.0,442497.0,2.0,0.0,420.0,333562.0,2820.0,336802.0,0.0,19825.0,19825.0,799124.0,115.0,804.0,1
104984,2,-2,-2,2,4661.0,0.0,37.0,4698.0,0.0,,2.0,,4175.0,1007.0,0.0,5182.0,0.0,0.0,0.0,60394.0,0.0,0.0,2
105145,2,-2,-2,2,34458.0,26.0,2210.0,36668.0,0.0,337898.0,1.0,,75593.0,49878.0,0.0,125471.0,0.0,203.0,203.0,463572.0,508.0,220.0,1
105154,1,-2,-2,2,102014.0,54972.0,703.0,102717.0,1.0,1589674.0,1.0,466531.0,110470.0,119111.0,0.0,229581.0,430.0,55361.0,55791.0,1875046.0,249.0,89.0,1
105163,4,-2,-2,-1,1118.0,27693.0,405.0,1523.0,0.0,,2.0,,2558.0,1650.0,0.0,4208.0,0.0,328.0,328.0,52222.0,0.0,0.0,-1
105172,4,-2,-2,-1,3767.0,27693.0,296.0,4063.0,0.0,56478.0,2.0,,5098.0,4735.0,0.0,9833.0,0.0,1735.0,1735.0,68046.0,0.0,0.0,-1
105206,2,-2,-2,2,57888.0,3021.0,3240.0,61128.0,4.0,525198.0,2.0,0.0,11267.0,35000.0,40.0,46307.0,0.0,18261.0,18261.0,589766.0,464.0,1414.0,1
105297,4,-2,-2,-1,111470.0,3229.0,3158.0,114628.0,3.0,213019.0,2.0,,106688.0,10443.0,200.0,117331.0,100.0,396161.0,396261.0,726611.0,3.0,12.0,-1
105330,1,-2,-2,2,929195.0,62811.0,28808.0,958003.0,0.0,,2.0,,60732.0,1667154.0,12585.0,1740471.0,0.0,236207.0,236207.0,5526882.0,18223.0,36199.0,1
105349,1,-2,-2,2,58937.0,317.0,2483.0,61420.0,9.0,362167.0,1.0,98811.0,16906.0,24125.0,1009.0,42040.0,0.0,25541.0,25541.0,429748.0,253.0,98.0,1
105367,1,2,155627,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
105428,2,-2,-2,2,64263.0,50016.0,9869.0,74132.0,0.0,981193.0,1.0,270698.0,51000.0,112971.0,1173.0,165144.0,0.0,13736.0,13736.0,1160073.0,228.0,170.0,1
105516,4,1,105516,-1,0.0,29188.0,560.0,560.0,2.0,,2.0,,297793.0,6872215.0,530291.0,7700299.0,0.0,20113.0,20113.0,8155538.0,0.0,11065.0,-1
105525,1,-2,-2,2,187558.0,63890.0,22079.0,209637.0,6.0,1687906.0,1.0,524129.0,454599.0,340000.0,5000.0,799599.0,500.0,147000.0,147500.0,2635005.0,554.0,54.0,1
105589,2,-2,-2,2,35248.0,4221.0,2042.0,37290.0,1.0,,1.0,,23145.0,103623.0,3195.0,129963.0,273.0,11821.0,12094.0,354142.0,1517.0,1871.0,1
105668,2,-2,-2,2,4702.0,51706.0,2577.0,7279.0,0.0,398192.0,2.0,,30000.0,82643.0,0.0,112643.0,0.0,44000.0,44000.0,554835.0,25.0,92.0,1
105747,2,-2,-2,2,39429.0,39228.0,2200.0,41629.0,0.0,,2.0,,108293.0,41523.0,0.0,149816.0,133.0,307.0,440.0,799730.0,1094.0,671.0,1
105792,4,-2,-2,-1,39818.0,12838.0,2468.0,42286.0,0.0,182563.0,2.0,,31617.0,28838.0,80.0,60535.0,0.0,15264.0,15264.0,258362.0,202.0,145.0,-1
105899,2,-2,-2,2,32838.0,19299.0,3250.0,36088.0,0.0,86535.0,2.0,,12188.0,9626.0,500.0,22314.0,4000.0,3200.0,7200.0,116049.0,168.0,10.0,-1
106148,2,-2,-2,2,115036.0,20862.0,19359.0,134395.0,1.0,,1.0,,156295.0,127497.0,7034.0,290826.0,0.0,25670.0,25670.0,1029977.0,44287.0,9008.0,1
106245,1,-2,-2,2,837778.0,23994.0,8694.0,846472.0,0.0,1324208.0,1.0,290230.0,351824.0,806887.0,595314.0,1754025.0,2597.0,446667.0,449264.0,3527497.0,9622.0,5798.0,1
106263,1,-2,-2,2,144325.0,834.0,338.0,144663.0,0.0,,2.0,,103189.0,1278311.0,229896.0,1611396.0,0.0,102385.0,102385.0,3236171.0,4558.0,3635.0,1
106306,4,-2,-2,-1,33573.0,0.0,176.0,33749.0,0.0,62961.0,2.0,,4143.0,4012.0,12500.0,20655.0,0.0,13004.0,13004.0,96620.0,0.0,0.0,-1
106342,2,-2,-2,2,147466.0,21711.0,6921.0,154387.0,0.0,,2.0,,8000.0,175000.0,3500.0,186500.0,500.0,36500.0,37000.0,438368.0,396.0,948.0,2
106397,1,-2,-2,2,1925537.0,127489.0,33640.0,1959177.0,4.0,5289985.0,1.0,1160595.0,585057.0,4347849.0,238183.0,5171089.0,64296.0,2178558.0,2242854.0,12703928.0,34990.0,33685.0,1
106412,2,-2,-2,-1,187468.0,5.0,153.0,187621.0,1.0,644674.0,1.0,159240.0,126086.0,160664.0,19000.0,305750.0,1000.0,54128.0,55128.0,1005552.0,449.0,485.0,-1
106449,1,-2,-2,2,79661.0,37959.0,4643.0,84304.0,0.0,,1.0,,90384.0,67171.0,0.0,157555.0,0.0,0.0,0.0,541603.0,74.0,39.0,1
106458,2,-2,-2,2,1296020.0,22186.0,25004.0,1321024.0,0.0,1241153.0,1.0,382763.0,664136.0,1664204.0,4596.0,2332936.0,10846.0,360397.0,371243.0,3945332.0,5326.0,3344.0,1
106467,2,-2,-2,2,272914.0,19000.0,12637.0,285551.0,0.0,703302.0,1.0,172436.0,99445.0,364916.0,15000.0,479361.0,8250.0,94581.0,102831.0,1285494.0,717.0,1726.0,1
106485,2,-2,-2,2,209356.0,1846.0,0.0,209356.0,2.0,396613.0,1.0,110671.0,23745.0,172152.0,1404.0,197301.0,3000.0,70632.0,73632.0,667546.0,579.0,358.0,1
106625,4,-2,-2,-1,23346.0,0.0,3054.0,26400.0,0.0,115249.0,2.0,,6441.0,24000.0,475.0,30916.0,0.0,18905.0,18905.0,165070.0,10.0,20.0,-1
